id,lineId,order,electrified,maxWeightKgM,lengthM,numberTracks,sidingPosition,sidingLength
1,1,1,Yes,8000,2618,4,,
3,2,1,Yes,8000,2443,4,,
10,3,1,Yes,8000,26560,2,,
11,3,2,Yes,8000,10000,2,,
15,4,1,Yes,8000,5286,2,,
16,4,2,Yes,8000,6000,2,,
14,5,1,Yes,8000,10387,2,,
12,5,2,Yes,8000,12000,2,,
13,5,3,Yes,8000,3100,2,,
20,6,1,Yes,6400,4890,2,,
18,7,1,Yes,8000,6000,1,,
21,7,2,Yes,8000,5000,1,2000,864
22,7,3,Yes,8000,12000,1,,
25,8,1,Yes,8000,20829,1,11000,266
26,9,1,Yes,8000,4264,1,,
30,21,1,Yes,8000,3883,2,,
31,22,1,Yes,8400,1174,2,,
32,22,2,Yes,8000,2534,2,,
33,23,1,Yes,8000,1566,2,,
34,23,2,Yes,8000,1453,2,,
35,24,1,Yes,8100,3597,2,,
36,24,2,Yes,8000,4334,2,,
