id,model,maker,numberBogies,bogies,lengthMm,widthMm,heightMm,weightTons,maxSpeed,payloadTons,volumeM3,type,bitola
1245,Tadgs 32 94 082 3,Metalsines,2,Duplo,17240,3072,4270,24,120,56,75,Cereal wagon,1668
1278,Tdgs 41 94 074 1,Equimetal,2,Duplo,9640,3120,4165.5,13.8,100,26.2,38,Cereal wagon,1668
1325,Gabs 81 94 181 1,Sepsa Cometna,2,Duplo,21700,3180,4170,29.8,100,50.2,110,Covered wagon with sliding door,1668
1104,Regmms 32 94 356 3,Metalsines,2,Duplo,14040,3104,2535,21.2,120,60.6,76.3,Container wagon (max 40'' HC),1668
985,Lgs 22 94 441 6,Metalsines,2,Simples,13860,2850,1060,11.9,120,28.1,76.3,Container wagon (max 40'' HC),1668
987,Sgnss 12 94 455 2,Emef,2,Duplo,18116,2950,1030,21.6,120,68.4,76.3,Container wagon (max 40'' HC),1668
988,Sgnss 12 94 455 2,Emef,2,Duplo,18116,2950,1030,21.6,120,68.4,76.3,Container wagon (max 40'' HC),1435
1525,Zaes 81 94 788,Equimetal,2,Duplo,13800,2950,4226,22.9,120,57.1,64.6,Biodiesel wagaon,1668
1523,Zaes 81 94 788,Equimetal,2,Duplo,13800,2950,4226,22.9,120,57.1,64.6,Biodiesel wagaon,1435
1212,Kbs 41 94 333,Simmering,2,Simples,14020,2842,3300,14.2,100,25.8,62.7,Wood wagon,1668
